asv	phylum	class	order	family	genus	species
ASV756	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__unclassified_f__Nectriaceae	s__unclassified_f__Nectriaceae
ASV248	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	s__Rhinocladiella_sp
ASV5637	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__unclassified_o__Pleosporales	g__unclassified_o__Pleosporales	s__unclassified_o__Pleosporales
ASV365	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7029	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Dominikia	s__Dominikia_sp
ASV4863	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7731	p__Ascomycota	c__Lecanoromycetes	o__Peltigerales	f__Peltigeraceae	g__Peltigera	s__Peltigera_lepidophora
ASV6807	p__Rozellomycota	c__Rozellomycota_cls_Incertae_sedis	o__Rozellomycota_ord_Incertae_sedis	f__Rozellomycota_fam_Incertae_sedis	g__Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
ASV6177	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5887	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Paradevriesiaceae	g__Paradevriesia	s__Paradevriesia_pseudoamericana
ASV7362	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Cyathicula	s__unclassified_g__Cyathicula
ASV5371	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__unclassified_g__Cladophialophora
ASV7910	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Boletaceae	g__Xerocomus	s__Xerocomus_longistipitatus
ASV6671	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4245	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV760	p__Basidiomycota	c__Agaricomycetes	o__unclassified_c__Agaricomycetes	f__unclassified_c__Agaricomycetes	g__unclassified_c__Agaricomycetes	s__unclassified_c__Agaricomycetes
ASV3734	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__Schizothecium_glutinans
ASV3028	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Clavidisculum	s__Clavidisculum_caricis
ASV4864	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3857	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5639	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV4526	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV3519	p__Ascomycota	c__GS37	o__GS37_ord_Incertae_sedis	f__GS37_ord_Incertae_sedis_fam_Incertae_sedis	g__GS37_ord_Incertae_sedis_gen_Incertae_sedis	s__GS37_ord_Incertae_sedis_sp
ASV249	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1213	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__Dioszegia_sp
ASV1739	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeriaceae_gen_Incertae_sedis	s__Leptosphaeriaceae_sp
ASV4129	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV2138	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__unclassified_g__Paraphoma
ASV1943	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__unclassified_o__Chaetothyriales	g__unclassified_o__Chaetothyriales	s__unclassified_o__Chaetothyriales
ASV7912	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Hypomyces	s__Hypomyces_cervinus
ASV246	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__Ambisporaceae	g__unclassified_f__Ambisporaceae	s__unclassified_f__Ambisporaceae
ASV1738	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__unclassified_g__Schizothecium
ASV4525	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__unclassified_g__Trichoderma
ASV7363	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__unclassified_o__Agaricales	g__unclassified_o__Agaricales	s__unclassified_o__Agaricales
ASV4524	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Typhula	s__Typhula_micans
ASV2559	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV1400	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	g__Taphrina	s__unclassified_g__Taphrina
ASV6431	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Teratosphaeria	s__unclassified_g__Teratosphaeria
ASV5373	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__Schizothecium_glutinans
ASV4523	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__Lophiostoma	s__unclassified_g__Lophiostoma
ASV3605	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2591	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__unclassified_f__Cucurbitariaceae	s__unclassified_f__Cucurbitariaceae
ASV7554	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4522	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2165	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV2143	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Kostermansinda	s__Kostermansinda_minima
ASV1178	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_hoffmannii
ASV2560	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Helotiaceae_gen_Incertae_sedis	s__Helotiaceae_sp
ASV6178	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidiaceae_gen_Incertae_sedis	s__Ceratobasidiaceae_sp
ASV988	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2792	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Mycoarthris	s__Mycoarthris_corallina
ASV743	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__unclassified_o__Hypocreales	g__unclassified_o__Hypocreales	s__unclassified_o__Hypocreales
ASV3735	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6679	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__unclassified_g__Trichoderma
ASV5636	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidiaceae_gen_Incertae_sedis	s__Ceratobasidiaceae_sp
ASV8276	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV3076	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5372	p__Ascomycota	c__Sordariomycetes	o__Ophiostomatales	f__Ophiostomataceae	g__Graphilbum	s__Graphilbum_pleomorphum
ASV7027	p__Ascomycota	c__Orbiliomycetes	o__unclassified_c__Orbiliomycetes	f__unclassified_c__Orbiliomycetes	g__unclassified_c__Orbiliomycetes	s__unclassified_c__Orbiliomycetes
ASV4527	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6432	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__unclassified_g__Coniochaeta
ASV4528	p__Olpidiomycota	c__Olpidiomycetes	o__Olpidiales	f__Olpidiaceae	g__unclassified_f__Olpidiaceae	s__unclassified_f__Olpidiaceae
ASV3737	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV985	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleomassariaceae	g__Tumularia	s__Tumularia_sp
ASV5638	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV3736	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV731	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Wilcoxina	s__Wilcoxina_rehmii
ASV5892	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Cercospora	s__Cercospora_sp
ASV5117	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Setophaeosphaeria	s__unclassified_g__Setophaeosphaeria
ASV5890	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cuniculitremaceae	g__Kockovaella	s__unclassified_g__Kockovaella
ASV750	p__Ascomycota	c__Eurotiomycetes	o__Sclerococcales	f__Sclerococcaceae	g__Sclerococcum	s__Sclerococcum_homoclinellum
ASV2190	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leptodophora	s__Leptodophora_orchidicola
ASV6672	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7365	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascodesmidaceae	g__Cephaliophora	s__Cephaliophora_sp
ASV4912	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	s__Bradymyces_alpinus
ASV4530	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Arthrobotrys	s__Arthrobotrys_xiangyunensis
ASV7370	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_tsunedae
ASV7368	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lycoperdaceae	g__Bovista	s__unclassified_g__Bovista
ASV991	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__unclassified_o__Sordariales	g__unclassified_o__Sordariales	s__unclassified_o__Sordariales
ASV3492	p__Ascomycota	c__Sordariomycetes	o__Ophiostomatales	f__Ophiostomataceae	g__Graphilbum	s__Graphilbum_pleomorphum
ASV3174	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4529	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV3494	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Laburnicola	s__Laburnicola_hawksworthii
ASV282	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Glomus	s__Glomus_indicum
ASV1792	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7364	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4246	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV8277	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV733	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Gorgomyces	s__Gorgomyces_honrubiae
ASV3775	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Dissophora	s__Dissophora_globulifera
ASV254	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Podosporaceae	g__Podospora	s__Podospora_leporina
ASV6179	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Paracladophialophoraceae	g__Paracladophialophora	s__Paracladophialophora_carceris
ASV5375	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV7033	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3738	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6180	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trichosporiella	s__Trichosporiella_cerebriformis
ASV3033	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV7034	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Cladoniaceae	g__Cladonia	s__unclassified_g__Cladonia
ASV2159	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7369	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV255	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Kondoaceae	g__Kondoa	s__unclassified_g__Kondoa
ASV6435	p__Ascomycota	c__Sordariomycetes	o__Pseudodactylariales	f__Pseudodactylariaceae	g__Pseudodactylaria	s__Pseudodactylaria_xanthorrhoeae
ASV7732	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tricladiaceae	g__Spirosphaera	s__Spirosphaera_sp
ASV251	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__unclassified_f__Mycosphaerellaceae	s__unclassified_f__Mycosphaerellaceae
ASV4866	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5374	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6434	p__Chytridiomycota	c__Rhizophlyctidomycetes	o__Rhizophlyctidales	f__Rhizophlyctidales_fam_Incertae_sedis	g__Rhizophlyctidales_gen_Incertae_sedis	s__Rhizophlyctidales_sp
ASV6433	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7031	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__unclassified_o__Sebacinales	g__unclassified_o__Sebacinales	s__unclassified_o__Sebacinales
ASV7914	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Hemimycena	s__Hemimycena_albicolor
ASV5118	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Sclerodermataceae	g__Scleroderma	s__unclassified_g__Scleroderma
ASV5640	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pseudombrophilaceae	g__Pseudombrophila	s__Pseudombrophila_hepatica
ASV4712	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4532	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Crocicreas	s__unclassified_g__Crocicreas
ASV5888	p__Rozellomycota	c__Rozellomycota_cls_Incertae_sedis	o__Rozellomycota_ord_Incertae_sedis	f__Rozellomycota_fam_Incertae_sedis	g__Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
ASV5907	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__unclassified_o__Sebacinales	g__unclassified_o__Sebacinales	s__unclassified_o__Sebacinales
ASV4867	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4533	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacinaceae_gen_Incertae_sedis	s__Sebacinaceae_sp
ASV6465	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7913	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Tygervalleyomyces	s__Tygervalleyomyces_podocarpi
ASV5889	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7035	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV7032	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Chaetasbolisia	s__Chaetasbolisia_longiseta
ASV5643	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__unclassified_f__Ceratobasidiaceae	s__unclassified_f__Ceratobasidiaceae
ASV2384	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV3529	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV2637	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeria	s__Leptosphaeria_pedicularis
ASV2386	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__Archaeosporaceae	g__Archaeospora	s__Archaeospora_europaea
ASV4531	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Epibryaceae	g__Epibryon	s__Epibryon_bryophilum
ASV7366	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Paragibellulopsis	s__Paragibellulopsis_chrysanthemi
ASV5642	p__Glomeromycota	c__Glomeromycetes	o__Diversisporales	f__Acaulosporaceae	g__unclassified_f__Acaulosporaceae	s__unclassified_f__Acaulosporaceae
ASV2566	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__unclassified_o__Chaetothyriales	g__unclassified_o__Chaetothyriales	s__unclassified_o__Chaetothyriales
ASV252	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipitaceae_gen_Incertae_sedis	s__Serendipitaceae_sp
ASV3493	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__Tomentella_lapida
ASV3525	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Ostropales_fam_Incertae_sedis	g__Ostropales_gen_Incertae_sedis	s__Ostropales_sp
ASV7367	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriales_fam_Incertae_sedis	g__Botryosphaeriales_gen_Incertae_sedis	s__Botryosphaeriales_sp
ASV256	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Ceratobasidiaceae_gen_Incertae_sedis	s__Ceratobasidiaceae_sp
ASV6062	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__unclassified_o__Xylariales	g__unclassified_o__Xylariales	s__unclassified_o__Xylariales
ASV1744	p__Monoblepharomycota	c__Monoblepharidomycetes	o__Monoblepharidomycetes_ord_Incertae_sedis	f__Monoblepharidomycetes_fam_Incertae_sedis	g__Monoblepharidomycetes_gen_Incertae_sedis	s__Monoblepharidomycetes_sp
ASV7030	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Cercospora	s__Cercospora_sp
ASV3074	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Rachicladosporium	s__Rachicladosporium_iridis
ASV4865	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV4868	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV2161	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Sclerostagonospora	s__unclassified_g__Sclerostagonospora
ASV1748	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV574	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Mycosphaerellaceae_gen_Incertae_sedis	s__Mycosphaerellaceae_sp
ASV4248	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV5402	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__unclassified_g__Schizothecium
ASV6437	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1381	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4095	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV4884	p__Rozellomycota	c__Rozellomycota_cls_Incertae_sedis	o__Rozellomycota_ord_Incertae_sedis	f__Rozellomycota_fam_Incertae_sedis	g__Rozellomycota_gen_Incertae_sedis	s__Rozellomycota_sp
ASV258	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV995	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Keithomyces	s__unclassified_g__Keithomyces
ASV8278	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leohumicola	s__Leohumicola_minima
ASV7374	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycenella	s__Mycenella_lasiosperma
ASV4872	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	s__Bradymyces_pullus
ASV3036	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnellula	s__Lachnellula_fuscosanguinea
ASV6738	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV257	p__Ascomycota	c__Dothideomycetes	o__Neocelosporiales	f__Neocelosporiaceae	g__Neocelosporium	s__Neocelosporium_eucalypti
ASV4249	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV7378	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV6183	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__unclassified_f__Teratosphaeriaceae	s__unclassified_f__Teratosphaeriaceae
ASV6181	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__unclassified_g__Schizothecium
